0,1,2
Precedido porClóvis Bezerra Cavalcanti,Governador da Paraíba1983 - 1986,Sucedido porRivando Bezerra Cavalcanti
Precedido porAntônio Carneiro Arnaud,Prefeito de João Pessoa1989 - 1990,Sucedido porCarlos Mangueira
