0,1,2
Precedido porAntônio Mariz,Governador da Paraíba1995 — 2002,Sucedido porRoberto Paulino
Precedido porCássio Cunha Lima,Governador da Paraíba2009 — 2010,Sucedido porRicardo Coutinho
