Deputados federais eleitos,Naturalidade,Mandatos,Ano da eleição,Link
João Agripino,"João Pessoa, PB",1,1986,"""/wiki/Jo%C3%A3o_Agripino_de_Vasconcelos_Maia"""
João da Mata,"Pombal, PB",1,1986,"""/wiki/Jo%C3%A3o_da_Mata_de_Sousa"""
Francisco Evangelista,"Alexandria, RN",1,1990,"""/wiki/Francisco_Evangelista_de_Freitas"""
Ivan Burity,"João Pessoa, PB",1,1990,"""/wiki/Ivan_Burity_de_Almeida"""
Rivaldo Medeiros,"Patos, PB",1,1990,"""/wiki/Rivaldo_Medeiros"""
Zuca Moreira,"Cajazeiras, PB",1,1990,"""/wiki/Jos%C3%A9_Zuca_Moreira_Lustosa"""
Álvaro Gaudêncio Neto,"Campina Grande, PB",1,1994,"""/wiki/%C3%81lvaro_Gaud%C3%AAncio_Neto"""
Gilvan Freire,"São Mamede, PB",1,1994,"""/wiki/Gilvan_Freire"""
José Aldemir,"Cajazeiras, PB",1,1994,"""/wiki/Jos%C3%A9_Aldemir_Meireles_de_Almeida"""
Roberto Paulino,"Guarabira, PB",1,1994,"""/wiki/Roberto_Paulino"""
Avenzoar Arruda,"Bonito de Santa Fé, PB",1,1998,"""/wiki/Avenzoar_Arruda"""
Inaldo Leitão,"Sousa, PB",1,1998,"""/wiki/Inaldo_Rocha_Leit%C3%A3o"""
Ricardo Rique,"Campina Grande, PB",1,1998,"""/wiki/Ricardo_Rique"""
Filemon Rodrigues,"Mamanguape, PB",1,2006,"""/wiki/Filemon_Rodrigues_da_Silva"""
Vital do Rego Filho,"Campina Grande, PB",1,2006,"""/wiki/Vital_do_R%C3%AAgo_Filho"""
Nilda Gondim,"João Pessoa, PB",1,2010,"""/wiki/Nilda_Gondim"""
Romero Rodrigues,"Campina Grande, PB",1,2010,"""/wiki/Romero_Rodrigues_Veiga"""
Veneziano Neto,"Campina Grande, PB",1,2014,"""/wiki/Veneziano_Vital_do_R%C3%AAgo"""
Edna Henrique,"Xique-Xique, BA",1,2018,"""/wiki/Edna_Henrique"""
Frei Anastácio,"Esperança, PB",1,2018,"""/wiki/Frei_Anast%C3%A1cio"""
Gervásio Maia,"São Paulo, SP",1,2018,"""/wiki/Gerv%C3%A1sio_Agripino_Maia"""
Julian Lemos,"Campina Grande, PB",1,2018,"""/wiki/Julian_Lemos"""
